DTM_NAME,n_craters,median_d_km,cov_sqkm,crater_per_km2
BARRINGERZ2,48,0.7519063146866503,284.18,0.16890703075515517
ALPHONSUS2,83,0.6386133258612526,493.77,0.16809445693339004
HORTSCONE01,112,0.7555168948611455,666.8,0.16796640671865629
HENDERSON,113,0.8373246865062774,674.46,0.1675414405598553
COMPTONW,165,0.7332837254550016,992.95,0.166171509139433
GRUITHUISE9,17,0.8784336954071011,102.91,0.16519288698863085
OPNHEIMRE,70,0.9573419074904825,429.88,0.16283614031822835
GEIGER01,22,0.8894481133849153,136.52,0.16114854966305303
HRTZSPRNG01,90,0.6679474202500182,558.63,0.16110842597067826
BOBONEFLW1,91,0.7440302615034401,564.94,0.1610790526427585
GRUITHUIS16,187,0.7375736227785005,1165.93,0.16038698721192524
SPARIM1,29,0.6910444689076908,181.67,0.15963009853030222
NASSAU03,117,1.2855694187823334,735.94,0.15898035165910263
ARISTARCHU2,19,0.8791454539602989,120.61,0.15753254290688998
HPONDS3,25,0.6908579537184086,158.97,0.1572623765490344
HANSTEENAL,108,0.7844710040096465,693.06,0.1558306640117739
HSCARP6,27,0.752970018008295,173.4,0.15570934256055363
HANSTEENAL3,77,0.7961306690565549,494.59,0.15568450635880224
JANSENU01,94,0.5996301906686474,605.23,0.15531285626951738
ORIENTALE4,115,0.6571096229850875,741.16,0.15516217820713477
HUBBLEC01,88,1.2131352137524511,567.53,0.1550578824026924
CMPTNCRTR,24,0.866881132422892,155.14,0.15469898156503806
INACALDERA3,18,0.5923542457638131,116.94,0.1539250897896357
HELLCRTR,40,0.6850207907927643,260.62,0.15348016268897244
HELMET1,52,0.6837580387704058,339.3,0.1532567049808429
RUMKERDOME7,20,0.7800825959515068,130.55,0.15319800842589046
CRISMMELT01,94,0.6637608234800249,615.58,0.1527015172682673
REINER_2M,57,0.6003872823309359,377.46,0.15100937847718965
CHAPPELLT,189,1.113422153318703,1253.51,0.15077661925313718
BROUWERFLW1,43,0.7725869575387146,285.25,0.15074496056091147
BIRKEJECT01,40,1.047032571866087,266.61,0.15003188177487714
ORIENTALE1,20,0.63891589287707,133.54,0.14976785981728322
GAUSSB01,131,0.8446751816756994,876.46,0.14946489286447756
MOROZOVE,111,0.8585075593385046,745.98,0.14879755489423308
AESTUUM1,91,0.7740040874122471,611.77,0.14874871275152426
RANGER,19,0.639201063566881,127.89,0.14856517319571508
RUMKERDOME8,83,0.6590733767727789,562.31,0.1476054133840764
