dtm,res_m,row,col,x_m,y_m,depth_m,frangi,score
PRCLRMPIT01,4.0,2572,644,3337037.116950307,1071687.1075000006,34.979576110839844,0.026937276124954224,0.9422544836997986
PRCLRMPIT01,4.0,3969,848,3339655.4441153696,1053759.406500001,39.39716339111328,0.023903030902147293,0.9417116045951843
PRCLRMPIT01,4.0,309,561,3335971.817172365,1100728.1865,32.7064323425293,0.0285783838480711,0.9346969723701477
PRCLRMPIT01,4.0,3064,538,3335676.6136194407,1065373.2715000007,34.0661735534668,0.027413630858063698,0.9338775277137756
PRCLRMPIT01,4.0,876,928,3340682.239082061,1093451.8755000003,36.14374542236328,0.02547246776521206,0.9206703901290894
PRCLRMPIT01,4.0,634,790,3338911.0177645185,1096557.4615000002,51.648067474365234,0.017606746405363083,0.9093544483184814
PRCLRMPIT01,4.0,3163,917,3340541.054774141,1064102.8045000008,34.81697463989258,0.025980833917856216,0.9045740365982056
PRCLRMPIT01,4.0,2375,885,3340130.3367874646,1074215.2085000006,28.160207748413086,0.03164835274219513,0.891224205493927
PRCLRMPIT01,4.0,539,386,3333725.703182727,1097776.5965000002,41.87101364135742,0.021147416904568672,0.8854637742042542
PRCLRMPIT01,4.0,138,373,3333558.8490006397,1102922.6295,33.83644485473633,0.025665609166026115,0.8684329986572266
PRCLRMPIT01,4.0,650,551,3335843.467801528,1096352.1335000002,83.127685546875,0.010239627212285995,0.8511965274810791
PRCLRMPIT01,4.0,673,742,3338294.9407845037,1096056.9745000002,32.225852966308594,0.025902574881911278,0.8347325921058655
PRCLRMPIT01,4.0,4014,488,3335034.866765259,1053181.921500001,58.7337646484375,0.014130240306258202,0.8299221992492676
PRCLRMPIT01,4.0,3725,693,3337666.0288674054,1056890.658500001,31.39333724975586,0.026296384632587433,0.8255312442779541
PRCLRMPIT01,4.0,592,720,3338012.5721686636,1097096.4475000002,33.798431396484375,0.024103019386529922,0.8146442174911499
PRCLRMPIT01,4.0,1166,724,3338063.911916998,1089730.3055000002,95.13027954101562,0.008522759191691875,0.8107724785804749
PRCLRMPIT01,4.0,380,641,3336998.612139056,1099817.0435000001,39.57843780517578,0.020459584891796112,0.8097584247589111
PRCLRMPIT01,4.0,2082,761,3338538.8045890927,1077975.2775000005,34.0698356628418,0.023756427690386772,0.8093776106834412
PRCLRMPIT01,5.0,2674,1025,3341927.2279791743,1070378.1415000006,236.37562561035156,0.03423655405640602,8.092686653137207
PRCLRMPIT01,5.0,3366,965,3341157.1317541557,1061497.7055000009,71.1253890991211,0.08026609569787979,5.708957195281982
PRCLRMPIT01,5.0,1625,708,3337858.55292366,1083839.9585000004,67.9402084350586,0.04719170182943344,3.20621395111084
PRCLRMPIT01,5.0,1622,685,3337563.349370736,1083878.4575000005,69.69452667236328,0.0454036183655262,3.16438364982605
PRCLRMPIT01,5.0,4653,533,3335612.4389340226,1044981.6345000012,100.58325958251953,0.030612915754318237,3.0791468620300293
PRCLRMPIT01,5.0,278,994,3341529.3449295815,1101126.0095000002,129.03372192382812,0.023451801389455795,3.0260732173919678
PRCLRMPIT01,5.0,1623,694,3337678.863804489,1083865.6245000004,98.8438720703125,0.03030308522284031,2.995274305343628
PRCLRMPIT01,5.0,291,988,3341452.3353070794,1100959.1805,122.31025695800781,0.023948416113853455,2.9291369915008545
PRCLRMPIT01,5.0,1632,691,3337640.358993238,1083750.1275000004,95.85723114013672,0.029762141406536102,2.8529164791107178
PRCLRMPIT01,5.0,1641,695,3337691.6987415724,1083634.6305000004,66.79100036621094,0.04235991835594177,2.829261302947998
PRCLRMPIT01,5.0,321,625,3336793.2531457176,1100574.1905,59.378440856933594,0.04489096254110336,2.665555477142334
PRCLRMPIT01,5.0,3056,756,3338474.6299036746,1065475.9355000008,75.37464904785156,0.03535794839262962,2.665092945098877
PRCLRMPIT01,5.0,1558,769,3338641.484085762,1084699.7695000004,44.04349899291992,0.05993067845702171,2.639556884765625
PRCLRMPIT01,5.0,3047,771,3338667.1539599295,1065591.4325000008,74.92410278320312,0.03401613608002663,2.548628568649292
PRCLRMPIT01,5.0,3040,756,3338474.6299036746,1065681.2635000008,77.77330017089844,0.03275246545672417,2.547267436981201
PRCLRMPIT01,5.0,4652,545,3335766.4581790264,1044994.4675000012,84.90660858154297,0.02824581228196621,2.3982560634613037
