threshold,f1_cal,f1_test,f1_test_slope,precision_test,recall_test,precision_test_slope,recall_test_slope,fp_per_1e4km2_test,valid_frac,n_void_cells,n_test_cells,arm,res_m
0.0,0.128,0.13447653429602888,0.11684687826996862,0.07208514755684567,1.0,0.06336296576508417,0.7494407158836689,37116594097.72617,0.2604274809160305,871,6201,i65_az180,0.5
0.0,0.12024957458876913,0.11597498578737919,0.11717171717171719,0.06155703077851539,1.0,0.06290672451193059,0.8529411764705882,9384429692.214848,0.288,211,1657,i65_az180,1.0
0.0,0.13122171945701355,0.10983981693363845,0.14769230769230768,0.05811138014527845,1.0,0.07973421926910298,1.0,2354721549.636804,0.2732160312805474,53,413,i65_az180,2.0
0.0,0.08571428571428572,0.13888888888888887,0.15384615384615383,0.07462686567164178,1.0,0.0851063829787234,0.8,370149253.73134327,0.27076923076923076,8,67,i65_az180,5.0
0.0,0.128,0.13447653429602888,0.10575371930453487,0.07208514755684567,1.0,0.057482462977396724,0.6599552572706935,37116594097.72617,0.2563969465648855,871,6201,i65_az270,0.5
0.0,0.12024957458876913,0.11597498578737919,0.1111111111111111,0.06155703077851539,1.0,0.059790732436472344,0.7843137254901961,9384429692.214848,0.2872727272727273,211,1657,i65_az270,1.0
0.0,0.13122171945701355,0.10983981693363845,0.10158730158730157,0.05811138014527845,1.0,0.054982817869415807,0.6666666666666666,2354721549.636804,0.2678396871945259,53,413,i65_az270,2.0
0.0,0.08571428571428572,0.13888888888888887,0.17857142857142855,0.07462686567164178,1.0,0.09803921568627451,1.0,370149253.73134327,0.2553846153846154,8,67,i65_az270,5.0
0.0,0.128,0.13447653429602888,0.05106855398279212,0.07208514755684567,1.0,0.029150823827629912,0.2058165548098434,37116594097.72617,0.12693129770992367,871,6201,i85_az0,0.5
0.0,0.12024957458876913,0.11597498578737919,0.05772811918063314,0.06155703077851539,1.0,0.03189300411522634,0.30392156862745096,9384429692.214848,0.14933333333333335,211,1657,i85_az0,1.0
0.0,0.13122171945701355,0.10983981693363845,0.06611570247933884,0.05811138014527845,1.0,0.03669724770642202,0.3333333333333333,2354721549.636804,0.11827956989247312,53,413,i85_az0,2.0
0.0,0.08571428571428572,0.13888888888888887,0.07142857142857142,0.07462686567164178,1.0,0.043478260869565216,0.2,370149253.73134327,0.08,8,67,i85_az0,5.0
0.0,0.128,0.13447653429602888,0.07802668009061163,0.07208514755684567,1.0,0.04395916052183778,0.34675615212527966,37116594097.72617,0.14796946564885496,871,6201,i85_az90,0.5
0.0,0.12024957458876913,0.11597498578737919,0.08571428571428572,0.06155703077851539,1.0,0.046875,0.5,9384429692.214848,0.17187878787878788,211,1657,i85_az90,1.0
0.0,0.13122171945701355,0.10983981693363845,0.09523809523809525,0.05811138014527845,1.0,0.05263157894736842,0.5,2354721549.636804,0.1402737047898338,53,413,i85_az90,2.0
0.0,0.08571428571428572,0.13888888888888887,0.14285714285714288,0.07462686567164178,1.0,0.08108108108108109,0.6,370149253.73134327,0.09538461538461539,8,67,i85_az90,5.0
0.0,0.128,0.13447653429602888,0.10063532401524777,0.07208514755684567,1.0,0.05676605504587156,0.4429530201342282,37116594097.72617,0.13770992366412213,871,6201,i85_az180,0.5
0.0,0.12024957458876913,0.11597498578737919,0.09649122807017543,0.06155703077851539,1.0,0.052986512524084775,0.5392156862745098,9384429692.214848,0.16048484848484848,211,1657,i85_az180,1.0
0.0,0.13122171945701355,0.10983981693363845,0.07627118644067797,0.05811138014527845,1.0,0.04245283018867924,0.375,2354721549.636804,0.12121212121212122,53,413,i85_az180,2.0
0.0,0.08571428571428572,0.13888888888888887,0.14285714285714285,0.07462686567164178,1.0,0.08695652173913043,0.4,370149253.73134327,0.08307692307692308,8,67,i85_az180,5.0
0.0,0.128,0.13447653429602888,0.05166846071044134,0.07208514755684567,1.0,0.03076923076923077,0.1610738255033557,37116594097.72617,0.0892824427480916,871,6201,i85_az270,0.5
0.0,0.12024957458876913,0.11597498578737919,0.05166051660516605,0.06155703077851539,1.0,0.029535864978902954,0.20588235294117646,9384429692.214848,0.10157575757575757,211,1657,i85_az270,1.0
0.0,0.13122171945701355,0.10983981693363845,0.075,0.05811138014527845,1.0,0.04411764705882353,0.25,2354721549.636804,0.07429130009775171,53,413,i85_az270,2.0
0.0,0.08571428571428572,0.13888888888888887,0.0,0.07462686567164178,1.0,0.0,0.0,370149253.73134327,0.033846153846153845,8,67,i85_az270,5.0
0.23980851471424103,0.23732057416267943,0.30008984725965854,0.30008984725965854,0.25075075075075076,0.37360178970917224,0.25075075075075076,0.37360178970917224,3218835671.66586,0.37868702290076334,871,6201,noiseonly_i65,0.5
0.2147444933652881,0.1985294117647059,0.24603174603174605,0.25203252032520324,0.20666666666666667,0.30392156862745096,0.2152777777777778,0.30392156862745096,718165359.0826796,0.4016969696969697,211,1657,noiseonly_i65,1.0
0.05674702823162109,0.3380281690140845,0.16129032258064516,0.17857142857142858,0.13157894736842105,0.20833333333333334,0.15625,0.20833333333333334,199757869.24939469,0.40371456500488756,53,413,noiseonly_i65,2.0
0.0,0.08571428571428572,0.13888888888888887,0.15384615384615385,0.07462686567164178,1.0,0.08333333333333333,1.0,370149253.73134327,0.4123076923076923,8,67,noiseonly_i65,5.0
0.0,0.128,0.13447653429602888,0.10268857356235997,0.07208514755684567,1.0,0.05601955591770218,0.6152125279642058,37116594097.72617,0.24925190839694655,871,6201,w0.11_i65_az90,0.5
0.0,0.12024957458876913,0.11597498578737919,0.11261582323592302,0.06155703077851539,1.0,0.06072252113758647,0.7745098039215687,9384429692.214848,0.2795151515151515,211,1657,w0.11_i65_az90,1.0
0.0,0.13122171945701355,0.10983981693363845,0.14482758620689654,0.05811138014527845,1.0,0.07894736842105263,0.875,2354721549.636804,0.26392961876832843,53,413,w0.11_i65_az90,2.0
0.0,0.08571428571428572,0.13888888888888887,0.17543859649122806,0.07462686567164178,1.0,0.09615384615384616,1.0,370149253.73134327,0.24923076923076923,8,67,w0.11_i65_az90,5.0
0.0,0.128,0.13447653429602888,0.10268857356235997,0.07208514755684567,1.0,0.05601955591770218,0.6152125279642058,37116594097.72617,0.24922137404580152,871,6201,w0.19_i65_az90,0.5
0.0,0.12024957458876913,0.11597498578737919,0.11261582323592302,0.06155703077851539,1.0,0.06072252113758647,0.7745098039215687,9384429692.214848,0.2795151515151515,211,1657,w0.19_i65_az90,1.0
0.0,0.13122171945701355,0.10983981693363845,0.14482758620689654,0.05811138014527845,1.0,0.07894736842105263,0.875,2354721549.636804,0.26392961876832843,53,413,w0.19_i65_az90,2.0
0.0,0.08571428571428572,0.13888888888888887,0.17543859649122806,0.07462686567164178,1.0,0.09615384615384616,1.0,370149253.73134327,0.24923076923076923,8,67,w0.19_i65_az90,5.0
