pit_site,lon,lat,terrain,lroc_dtm_product_id,lroc_dtm_url,lroc_dtm_lbl_url,estimated_size_mb,pit_in_catalog,priority_in_registry,resolution_m,coverage_km2,quality,relat_le_m,triang_rms_m
King 20f,119.9282,6.5153,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 20g,119.9304,6.5165,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 20h,119.9299,6.5183,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 21,119.9875,6.517,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 22,119.9941,6.4835,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 23,119.9019,6.3794,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 24a,119.9914,6.3416,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 24b,119.9907,6.34,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 24c,119.9913,6.3389,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 25,119.9429,6.2691,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 2a,119.9992,6.3808,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 2b,119.9972,6.3802,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 30,119.9937,6.3339,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
King 31,119.9879,6.5229,Impact Melt,KINGCRATER2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/KINGCRATER2/NAC_DTM_KINGCRATER2.LBL,199.7,True,False,2.0,183.19,good,1.32,0.559
