dtm,res_m,row,col,x_m,y_m,depth_m,frangi,score
INGENIIPIT,2.0,2614,908,-341101.55738890765,-1091605.0090003044,23.337244033813477,0.16436661779880524,3.8358638286590576
INGENIIPIT,2.0,164,919,-341039.4870876164,-1077782.1090003,24.871437072753906,0.14819186925888062,3.6857447624206543
INGENIIPIT,2.0,1029,1299,-338895.2403157363,-1082662.4390003015,29.27365493774414,0.12447334080934525,3.643789529800415
INGENIIPIT,2.0,1033,1299,-338895.2403157363,-1082685.0070003017,27.270034790039062,0.1309114247560501,3.5699591636657715
INGENIIPIT,2.0,2238,772,-341868.9720230542,-1089483.6170003037,46.24632263183594,0.07716122269630432,3.568422794342041
INGENIIPIT,2.0,3648,921,-341028.20157829067,-1097438.837000306,25.6007022857666,0.1388614922761917,3.5549516677856445
INGENIIPIT,2.0,2615,901,-341141.0566715475,-1091610.6510003044,29.834718704223633,0.11863812804222107,3.5395352840423584
INGENIIPIT,2.0,2273,761,-341931.0423243455,-1089681.0870003037,33.89531326293945,0.10411296039819717,3.5289413928985596
INGENIIPIT,2.0,3614,915,-341062.05810626777,-1097247.009000306,27.779951095581055,0.1264537125825882,3.512877941131592
INGENIIPIT,2.0,2603,901,-341141.0566715475,-1091542.9470003042,21.82201385498047,0.1598873734474182,3.4890644550323486
INGENIIPIT,2.0,4629,392,-344013.21879493434,-1102973.6390003078,18.720478057861328,0.18610088527202606,3.4838974475860596
INGENIIPIT,2.0,2277,752,-341981.82711631106,-1089703.6550003036,35.08932876586914,0.09812834858894348,3.4432578086853027
INGENIIPIT,2.0,3619,922,-341022.5588236278,-1097275.219000306,26.763721466064453,0.12269442528486252,3.283759355545044
INGENIIPIT,2.0,2464,642,-342602.5301292237,-1090758.709000304,28.2194766998291,0.1152593269944191,3.2525579929351807
INGENIIPIT,2.0,2997,918,-341045.12984227925,-1093765.895000305,20.85902976989746,0.1534256488084793,3.200310230255127
INGENIIPIT,2.0,4375,1129,-339854.50860841945,-1101540.5710003073,20.94232749938965,0.15109963715076447,3.1643781661987305
INGENIIPIT,2.0,1112,1202,-339442.58751803194,-1083130.7250003018,17.135635375976562,0.18422779440879822,3.1568603515625
INGENIIPIT,2.0,2605,886,-341225.6979914902,-1091554.2310003042,22.214902877807617,0.14123153686523438,3.1374449729919434
INGENIIPIT,2.0,226,1015,-340497.7826399835,-1078131.9130003003,21.18381690979004,0.14677706360816956,3.1092984676361084
