dtm,res_m,row,col,x_m,y_m,depth_m,frangi,score
FECNDITATS2,4.0,3714,98,1473377.0083177632,-42630.028146865865,4.68777322769165,0.7020683288574219,3.291137218475342
FECNDITATS2,4.0,3628,156,1474057.7034951975,-41621.11054686556,56.18247985839844,0.05816365033388138,3.267778158187866
FECNDITATS2,4.0,3720,98,1473377.0083177632,-42700.41774686588,4.502327919006348,0.7086902260780334,3.190755844116211
FECNDITATS2,4.0,4831,1089,1485007.5069528895,-55734.22534686979,7.4900736808776855,0.4075421988964081,3.052520990371704
FECNDITATS2,4.0,3620,158,1474081.175742695,-41527.25774686553,51.759029388427734,0.05704871937632561,2.952786445617676
FECNDITATS2,4.0,4930,153,1474022.4951239508,-56895.65374687014,8.581512451171875,0.3263563811779022,2.800631284713745
FECNDITATS2,4.0,4955,815,1481791.8090457004,-57188.94374687023,5.8734564781188965,0.42565634846687317,2.5000741481781006
FECNDITATS2,4.0,4957,784,1481427.9892094855,-57212.40694687024,5.187632083892822,0.4796668589115143,2.488335132598877
FECNDITATS2,4.0,4018,116,1473588.258545243,-46196.434546866934,14.406270980834961,0.16985078155994415,2.446916341781616
FECNDITATS2,4.0,3591,901,1482801.1156881028,-41187.04134686543,60.586769104003906,0.040261346846818924,2.439304828643799
FECNDITATS2,4.0,3862,648,1479831.8763796396,-44366.30494686638,44.15517807006836,0.05495572090148926,2.426579713821411
FECNDITATS2,4.0,4670,1081,1484913.6179628987,-53845.437746869226,8.271684646606445,0.2688131630420685,2.2235376834869385
FECNDITATS2,4.0,3598,894,1482718.9628218606,-41269.16254686545,50.04087829589844,0.042371273040771484,2.120295763015747
FECNDITATS2,4.0,2362,64,1472977.9801103019,-26768.904946861105,11.967924118041992,0.16248375177383423,1.9445931911468506
FECNDITATS2,4.0,2362,792,1481521.8781994763,-26768.904946861105,44.81351852416992,0.03965979814529419,1.7772951126098633
FECNDITATS2,4.0,2352,790,1481498.4059519786,-26651.58894686107,42.88829803466797,0.03639400005340576,1.560876727104187
FECNDITATS2,4.0,3971,1073,1484819.7289729076,-45645.04934686676,4.258934497833252,0.3621167838573456,1.5422316789627075
FECNDITATS2,4.0,3728,1069,1484772.7844779124,-42794.27054686591,4.489044666290283,0.3402986526489258,1.5276159048080444
FECNDITATS2,4.0,4573,1082,1484925.3540866475,-52707.472546868885,2.918855667114258,0.4537127614021301,1.3243221044540405
FECNDITATS2,4.0,4637,137,1473834.717143969,-53458.29494686911,3.827240467071533,0.3420076370239258,1.3089454174041748
FECNDITATS2,4.0,2358,784,1481427.9892094855,-26721.97854686109,41.27611541748047,0.031188061460852623,1.2873220443725586
FECNDITATS2,4.0,4580,1080,1484901.8818391499,-52789.59374686891,3.5861785411834717,0.3383432626724243,1.2133593559265137
FECNDITATS2,4.0,3143,82,1473189.2303377814,-35931.284546863855,8.351802825927734,0.13987980782985687,1.1682485342025757
FECNDITATS2,4.0,964,413,1477073.8872986562,-10368.128146856183,42.06975173950195,0.027303382754325867,1.148646593093872
FECNDITATS2,4.0,1917,596,1479221.5979446985,-21548.34294685954,33.25210952758789,0.034430164843797684,1.1448756456375122
FECNDITATS2,4.0,4039,115,1473576.522421494,-46442.798146867004,4.403989315032959,0.2564639747142792,1.1294646263122559
FECNDITATS2,4.0,4986,427,1477238.1930311401,-57552.623346870336,3.314570903778076,0.3173901438713074,1.0520120859146118
FECNDITATS2,4.0,3591,95,1473341.7999465168,-41187.04134686543,4.5542144775390625,0.22879508137702942,1.041981816291809
FECNDITATS2,4.0,1920,586,1479104.2367072098,-21583.537746859547,33.63673400878906,0.03081689588725567,1.0365797281265259
FECNDITATS2,4.0,4852,146,1473940.3422577088,-55980.588946869866,3.3695247173309326,0.29628729820251465,0.9983474016189575
FECNDITATS2,4.0,3529,94,1473330.0638227677,-40459.68214686521,5.148003101348877,0.1890791803598404,0.9733802080154419
FECNDITATS2,4.0,4865,150,1473987.2867527043,-56133.09974686991,2.6568143367767334,0.3604692816734314,0.9576999545097351
FECNDITATS2,4.0,3650,650,1479855.3486271373,-41879.205746865635,38.242591857910156,0.024570755660533905,0.9396494030952454
FECNDITATS2,5.0,4960,154,1474034.2312476998,-57247.60174687025,16.784717559814453,0.5596996545791626,9.394400596618652
FECNDITATS2,5.0,4953,982,1483751.7417117609,-57165.480546870225,11.636390686035156,0.3783029019832611,4.402080535888672
FECNDITATS2,5.0,3727,98,1473377.0083177632,-42782.538946865905,4.898097991943359,0.7097204923629761,3.476280450820923
FECNDITATS2,5.0,3723,98,1473377.0083177632,-42735.612546865894,4.76857852935791,0.7070294618606567,3.371525526046753
FECNDITATS2,5.0,2847,73,1473083.6052240415,-32458.73094686281,15.434213638305664,0.21834251284599304,3.3699450492858887
FECNDITATS2,5.0,3714,98,1473377.0083177632,-42630.028146865865,4.68777322769165,0.7020683288574219,3.291137218475342
FECNDITATS2,5.0,3628,156,1474057.7034951975,-41621.11054686556,56.18247985839844,0.05816365033388138,3.267778158187866
FECNDITATS2,5.0,3720,98,1473377.0083177632,-42700.41774686588,4.502327919006348,0.7086902260780334,3.190755844116211
FECNDITATS2,5.0,4831,1089,1485007.5069528895,-55734.22534686979,7.4900736808776855,0.4075421988964081,3.052520990371704
FECNDITATS2,5.0,3620,158,1474081.175742695,-41527.25774686553,51.759029388427734,0.05704871937632561,2.952786445617676
FECNDITATS2,5.0,4930,153,1474022.4951239508,-56895.65374687014,8.581512451171875,0.3263563811779022,2.800631284713745
FECNDITATS2,5.0,4955,815,1481791.8090457004,-57188.94374687023,5.8734564781188965,0.42565634846687317,2.5000741481781006
FECNDITATS2,5.0,4957,784,1481427.9892094855,-57212.40694687024,5.187632083892822,0.4796668589115143,2.488335132598877
FECNDITATS2,5.0,4018,116,1473588.258545243,-46196.434546866934,14.406270980834961,0.16985078155994415,2.446916341781616
FECNDITATS2,5.0,3591,901,1482801.1156881028,-41187.04134686543,60.586769104003906,0.040261346846818924,2.439304828643799
FECNDITATS2,5.0,3862,648,1479831.8763796396,-44366.30494686638,44.15517807006836,0.05495572090148926,2.426579713821411
FECNDITATS2,5.0,4670,1081,1484913.6179628987,-53845.437746869226,8.271684646606445,0.2688131630420685,2.2235376834869385
FECNDITATS2,5.0,3598,894,1482718.9628218606,-41269.16254686545,50.04087829589844,0.042371273040771484,2.120295763015747
FECNDITATS2,5.0,2362,64,1472977.9801103019,-26768.904946861105,11.967924118041992,0.16248375177383423,1.9445931911468506
FECNDITATS2,5.0,2362,792,1481521.8781994763,-26768.904946861105,44.81351852416992,0.03965979814529419,1.7772951126098633
FECNDITATS2,5.0,2352,790,1481498.4059519786,-26651.58894686107,42.88829803466797,0.03639400005340576,1.560876727104187
FECNDITATS2,5.0,3971,1073,1484819.7289729076,-45645.04934686676,4.258934497833252,0.3621167838573456,1.5422316789627075
